match_id,game_duration,game_mode,t100_kills,t100_deaths,t100_assists,t100_gold,t100_damage,t100_cs,t100_vision,t100_wardsPlaced,t100_wardsKilled,t100_controlWards,t100_towers,t100_dragons,t100_herald,t100_barons,t100_phdmg,t100_mgdmg,t100_trdmg,t100_goldpermin,t100_killsfr10,t100_inhibitors,t200_kills,t200_deaths,t200_assists,t200_gold,t200_damage,t200_cs,t200_vision,t200_wardsPlaced,t200_wardsKilled,t200_controlWards,t200_towers,t200_dragons,t200_barons,t200_herald,t200_phdmg,t200_mgdmg,t200_trdmg,t200_goldpermin,t200_killsfr10,t200_inhibitors,team_100_win
NA1_5475358723,2789,CLASSIC,58,63,101,98702,285125,1092,270,104,27,0,4,1,2,1,76543,184038,24538,2123.3847257081393,0,1,61,58,94,107489,263568,1224,335,122,45,0,8,5,2,0,130755,105710,27097,2312.4202223019,0,3,0
NA1_5473175216,2291,CLASSIC,50,39,81,86628,189144,1133,294,101,48,0,8,1,0,0,93522,89976,5638,2268.7385421213444,0,1,39,50,64,77783,188475,1098,240,108,21,0,3,4,2,4,34828,130034,23609,2037.0929725010915,0,0,1
NA1_5473143243,1841,CLASSIC,35,43,48,68901,107142,877,232,100,14,0,5,1,1,1,51386,45815,9936,2245.5513307984793,0,0,43,35,92,72873,159142,849,177,72,21,0,7,4,1,0,80669,66874,11594,2375.0027159152633,0,1,0
NA1_5472225619,1450,CLASSIC,30,15,46,53561,87889,820,185,74,20,0,8,1,1,1,43756,41650,2475,2216.3172413793104,0,1,15,31,24,46225,69431,732,179,65,25,0,2,2,0,0,36947,27182,5296,1912.7586206896551,0,0,1
NA1_5472200618,2163,CLASSIC,31,37,65,76542,140247,1123,269,88,35,0,7,1,1,0,83247,41700,15294,2123.2177531206657,0,1,37,31,58,74638,184513,1099,284,104,34,0,5,3,1,0,94095,60961,29454,2070.402219140083,0,0,1
NA1_5472164295,1922,CLASSIC,21,43,27,62327,125679,955,249,95,27,0,4,1,0,0,56895,62417,6363,1945.6919875130075,0,0,42,21,63,75201,134629,1018,237,86,35,0,9,4,2,1,53103,73745,7777,2347.585848074922,0,1,0
NA1_5472144010,70,CLASSIC,0,0,0,2556,1050,0,0,1,0,0,0,0,0,0,741,308,0,2190.8571428571427,0,0,0,0,0,2576,1029,1,0,2,0,0,0,0,0,0,710,299,20,2208.0,0,0,0
NA1_5472111477,1345,CLASSIC,29,16,43,50928,87138,796,147,64,14,0,5,3,1,0,55436,30445,1253,2271.881040892193,0,0,16,29,21,43263,60939,698,159,58,16,0,1,0,0,0,22372,37379,1183,1929.9479553903345,0,0,1
NA1_5471359336,1692,CLASSIC,50,40,70,71076,134116,780,177,83,18,0,9,2,0,1,60881,65952,7278,2520.425531914894,0,2,40,50,45,62628,104086,743,202,74,23,0,1,1,0,2,63760,25084,15240,2220.851063829787,0,0,1
NA1_5471343118,1684,CLASSIC,39,33,67,62122,115567,763,193,73,24,0,9,1,2,1,68149,38927,8488,2213.372921615202,0,1,33,39,40,57464,118768,839,173,78,21,0,2,3,0,0,79275,34676,4811,2047.4109263657958,0,0,1
NA1_5471313329,1403,CLASSIC,28,9,35,53677,96376,792,152,69,14,0,9,3,2,1,62391,32238,1745,2295.5238774055597,0,1,9,28,17,38799,58258,687,130,48,14,0,0,0,0,0,25130,23848,9276,1659.2587312900928,0,0,1
NA1_5471283615,1671,CLASSIC,30,16,50,62890,110110,874,215,77,31,0,9,1,2,1,54870,50119,5116,2258.1687612208257,0,2,16,30,29,52081,94149,907,196,87,22,0,2,2,0,0,55752,29520,8873,1870.0538599640934,0,0,1
NA1_5471249219,1671,CLASSIC,40,28,61,57762,114160,775,260,91,39,0,2,3,0,1,80022,29765,4369,2074.0394973070015,0,0,28,40,36,55596,140179,818,225,97,22,0,3,1,0,0,69805,58418,11950,1996.265709156194,0,0,1
NA1_5471195145,1672,CLASSIC,15,30,27,54192,89112,936,156,65,19,0,2,0,2,0,33433,49435,6240,1944.688995215311,0,0,30,15,74,62282,104225,944,179,69,18,0,7,4,1,0,52716,49982,1522,2235.0,0,1,0
NA1_5470494771,1763,CLASSIC,35,30,67,64250,127068,808,194,76,17,0,6,1,3,1,67904,52049,7113,2186.6137266023825,0,1,30,35,37,58494,113939,877,191,84,18,0,5,3,0,0,54366,45484,14083,1990.7203630175836,0,0,1
NA1_5470471151,1751,CLASSIC,30,38,36,61038,125411,948,195,69,20,0,5,0,1,0,55011,63435,6961,2091.5362649914337,0,0,38,30,83,64502,109535,880,174,87,12,0,6,4,0,0,51138,56397,1994,2210.2341519131924,0,1,0
NA1_5470454929,1536,CLASSIC,33,15,51,59398,99120,826,200,79,26,0,9,4,2,1,49575,43821,5720,2320.234375,0,2,15,33,18,48409,75941,805,169,70,21,0,3,0,0,0,39445,28804,7688,1890.9765625,0,0,1
NA1_5469618488,1426,CLASSIC,10,24,11,42414,51014,757,128,53,14,0,3,0,2,0,28123,20346,2540,1784.6002805049088,0,0,24,10,42,57416,69570,901,140,59,11,0,8,3,1,0,42076,24128,3364,2415.820476858345,0,2,0
NA1_5469584056,1668,CLASSIC,20,33,14,53690,87143,848,186,76,19,0,6,2,0,1,56612,23350,7178,1931.294964028777,0,0,33,20,61,63036,107477,875,177,79,12,0,8,2,0,3,63983,37023,6466,2267.482014388489,0,1,0
NA1_5469566535,1120,CLASSIC,28,10,32,45149,72086,658,110,52,10,0,5,1,0,0,45277,21662,5145,2418.6964285714284,0,0,10,28,14,34292,52885,555,87,37,8,0,0,1,0,0,22478,26595,3808,1837.0714285714284,0,0,1
NA1_5475187688,1819,CLASSIC,25,40,35,59882,114977,879,223,95,20,0,4,1,1,0,61949,39047,13975,1975.2171522814733,0,0,40,26,52,73506,143507,1001,252,78,47,0,8,3,2,0,82223,52184,9095,2424.606926882903,0,2,0
NA1_5475158291,1101,CLASSIC,20,9,32,39409,55032,540,121,51,9,0,1,2,0,0,31787,21018,2225,2147.6294277929155,0,0,9,20,18,32822,58400,583,91,42,1,0,1,0,0,0,21427,32111,4859,1788.6648501362397,0,0,1
NA1_5475102879,1944,CLASSIC,23,42,29,63862,143826,1030,243,88,30,0,4,1,0,0,60238,75376,8209,1971.0493827160494,0,0,40,23,57,72597,122136,1024,260,93,29,0,9,3,1,2,78692,33583,9857,2240.6481481481483,0,2,0
NA1_5475071187,932,CLASSIC,7,27,10,25489,31771,442,65,28,10,0,0,0,0,0,12168,19010,590,1640.9227467811158,0,0,27,7,34,38837,53132,580,89,40,9,0,4,2,0,0,28728,22046,2353,2500.236051502146,0,0,0
NA1_5475024066,1668,CLASSIC,43,25,73,69032,160759,861,210,79,28,0,7,2,2,1,97950,56262,6543,2483.165467625899,0,1,25,43,46,55193,117271,790,200,74,29,0,2,1,0,0,54607,60568,2094,1985.3597122302158,0,0,1
NA1_5474983831,1490,CLASSIC,26,6,31,53489,94326,833,145,64,15,0,8,2,3,0,32104,53985,8233,2153.9194630872485,0,1,6,26,7,41017,63735,766,137,53,12,0,2,0,0,0,21780,38741,3210,1651.6912751677853,0,0,1
NA1_5474943626,1180,CLASSIC,30,12,37,46723,67924,671,157,68,14,0,3,1,1,0,46585,17795,3539,2375.7457627118642,0,0,12,30,18,35565,44097,580,127,50,18,0,0,1,0,0,25328,14949,3816,1808.3898305084745,0,0,1
NA1_5474894489,1850,CLASSIC,31,27,44,64498,105208,984,205,65,24,0,6,3,2,0,48381,50544,6278,2091.8270270270273,0,0,27,31,46,66458,106460,1000,251,91,22,0,5,2,1,0,60817,40110,5528,2155.3945945945948,0,0,0
NA1_5474862270,1293,CLASSIC,13,26,22,40212,58441,679,123,44,14,0,0,0,0,0,27384,28790,2260,1865.986078886311,0,0,26,13,41,51423,85134,789,141,57,15,0,4,3,1,3,49423,28752,6954,2386.2180974477956,0,0,0
NA1_5474826898,1480,CLASSIC,20,35,28,46382,79514,732,119,53,11,0,1,0,2,0,53974,24583,953,1880.3513513513512,0,0,35,20,57,60991,117329,885,140,57,9,0,10,3,1,0,76615,32085,8624,2472.608108108108,0,2,0
NA1_5474781296,1913,CLASSIC,25,38,50,63190,116215,864,195,80,20,0,4,1,0,1,63854,45378,6979,1981.913225300575,0,1,38,25,67,75000,125870,1046,233,89,20,0,8,4,1,1,77803,38074,9987,2352.3261892315736,0,1,0
NA1_5474746761,1672,CLASSIC,23,27,30,63600,92297,940,182,75,26,0,8,0,2,1,64719,16071,11502,2282.2966507177034,0,1,27,23,43,58532,90416,850,205,67,29,0,3,3,0,0,51487,25829,13097,2100.4306220095696,0,0,1
NA1_5474291794,1692,CLASSIC,34,24,61,67176,118144,997,214,82,27,0,8,4,1,1,55555,49774,12809,2382.127659574468,0,1,24,35,33,60819,91293,957,193,69,25,0,3,0,0,0,49910,35046,6331,2156.7021276595747,0,0,1
NA1_5474274322,2141,CLASSIC,31,33,58,77871,170988,1127,294,103,46,0,7,3,0,0,77359,80543,13079,2182.2793087342366,0,1,33,31,40,71124,132534,1031,260,101,30,0,2,2,1,0,79958,43107,9465,1993.1994395142458,0,0,1
