match_id,game_duration,game_mode,t100_kills,t100_deaths,t100_assists,t100_gold,t100_damage,t100_cs,t100_vision,t100_wardsPlaced,t100_wardsKilled,t100_controlWards,t100_towers,t100_dragons,t100_herald,t100_barons,t100_phdmg,t100_mgdmg,t100_trdmg,t100_goldpermin,t100_inhibitors,t200_kills,t200_deaths,t200_assists,t200_gold,t200_damage,t200_cs,t200_vision,t200_wardsPlaced,t200_wardsKilled,t200_controlWards,t200_towers,t200_dragons,t200_barons,t200_herald,t200_phdmg,t200_mgdmg,t200_trdmg,t200_goldpermin,t200_inhibitors,team_100_win
NA1_5483424723,1634,CHERRY,69,48,60,191700,479273,0,0,0,0,0,0,0,0,0,189888,245523,43849,7039.167686658507,0,30,53,28,95315,225626,0,0,0,0,0,0,0,0,0,84676,89825,51116,3499.938800489596,0,1
NA1_5483269086,1205,CLASSIC,25,14,31,45485,69725,693,112,38,13,0,4,1,2,0,44790,23074,1857,2264.8132780082988,0,14,26,16,37099,60921,615,116,53,6,0,1,0,0,0,36346,15546,9025,1847.253112033195,0,1
NA1_5483253695,1625,CLASSIC,33,44,42,58467,93825,799,136,62,10,0,4,1,0,0,60181,31676,1965,2158.7815384615387,0,44,33,48,67854,117755,880,148,59,13,0,9,3,1,0,51748,47677,18326,2505.3784615384616,1,0
NA1_5483229913,2078,CLASSIC,25,24,38,76323,112351,1223,269,86,49,0,9,1,1,1,43908,60340,8097,2203.7439846005777,1,24,25,44,72936,135499,1293,280,115,38,0,7,3,0,0,80226,47728,7542,2105.9480269489895,1,1
NA1_5483198320,1551,CLASSIC,32,17,55,58898,107849,835,180,66,18,0,9,2,1,0,47284,57296,3264,2278.4526112185686,1,16,32,28,46041,78538,786,179,73,16,0,2,2,0,0,40883,35173,2478,1781.0831721470017,0,1
NA1_5483166131,1853,CLASSIC,23,42,35,61730,99105,994,202,77,24,0,4,0,3,1,50434,44796,3869,1998.8127361036159,0,41,23,59,72478,119653,1014,254,105,29,0,8,4,1,0,64131,44955,10564,2346.832164058284,2,0
NA1_5483123728,2299,CLASSIC,43,21,87,85890,171570,1311,338,128,40,0,9,3,2,1,94588,71038,5938,2241.583297085689,1,21,43,51,72967,138077,1117,277,109,36,0,4,1,1,0,82704,48506,6863,1904.3149195302303,0,1
NA1_5483088397,1806,CLASSIC,33,28,58,63806,158687,920,199,79,22,0,3,1,1,1,83205,63275,12205,2119.8006644518273,0,28,33,66,68262,156542,997,193,85,25,0,8,3,0,0,59832,87702,9003,2267.840531561462,1,0
NA1_5482430200,1222,CLASSIC,27,13,45,49058,77694,730,104,42,9,0,6,2,1,0,47308,27828,2554,2408.7397708674303,0,13,27,22,38319,46796,614,70,37,3,0,1,0,0,0,13945,28793,4054,1881.456628477905,0,1
NA1_5482396704,1911,CLASSIC,26,43,33,60943,133172,907,227,88,20,0,6,0,0,0,54524,73383,5260,1913.4379905808476,0,43,26,73,72885,138463,1020,230,83,26,0,9,5,1,0,65181,61861,11416,2288.3830455259026,2,0
